Date,Text,URL
3/1/17,SSOsvaldo Abreuassigned to Washington Nationals.,http://m.nationals.mlb.com/player/622435/osvaldo-abreu
3/1/17,CFVictor Roblesassigned to Washington Nationals.,http://m.nationals.mlb.com/player/645302/victor-robles
3/1/17,Washington Nationals signed free agent LHPJohn Lannanto a minor league contract.,http://m.nationals.mlb.com/player/458709/john-lannan
3/2/17,Washington Nationals designated CSpencer Kieboomfor assignment.,http://m.nationals.mlb.com/player/571851/spencer-kieboom
3/2/17,Washington Nationals signed free agent RHPJoe Blanton.,http://m.nationals.mlb.com/player/430599/joe-blanton
3/3/17,CJeyner Baezassigned to Washington Nationals.,http://m.nationals.mlb.com/player/649603/jeyner-baez
3/3/17,2BIan Sagdalassigned to Washington Nationals.,http://m.nationals.mlb.com/player/664921/ian-sagdal
3/3/17,3BKelvin Gutierrezassigned to Washington Nationals.,http://m.nationals.mlb.com/player/642721/kelvin-gutierrez
3/3/17,LFTelmito Agustinassigned to Washington Nationals.,http://m.nationals.mlb.com/player/648739/telmito-agustin
3/3/17,CFBlake Perkinsassigned to Washington Nationals.,http://m.nationals.mlb.com/player/663368/blake-perkins
3/3/17,2BAdrian Sanchezassigned to Washington Nationals.,http://m.nationals.mlb.com/player/506703/adrian-sanchez
3/3/17,RFJuan Sotoassigned to Washington Nationals.,http://m.nationals.mlb.com/player/665742/juan-soto
3/3/17,CJake Loweryassigned to Washington Nationals.,http://m.nationals.mlb.com/player/607021/jake-lowery
3/3/17,CJakson Reetzassigned to Washington Nationals.,http://m.nationals.mlb.com/player/656883/jakson-reetz
3/6/17,Washington Nationals sentSpencer Kieboomoutright to Syracuse Chiefs.,http://m.nationals.mlb.com/player/571851/spencer-kieboom
3/7/17,Washington Nationals signed free agent 2BAlian Silvato a minor league contract.,http://m.nationals.mlb.com/player/674293/alian-silva
3/8/17,LFRhett Wisemanassigned to Washington Nationals.,http://m.nationals.mlb.com/player/621443/rhett-wiseman
3/8/17,CSpencer Kieboomassigned to Washington Nationals.,http://m.nationals.mlb.com/player/571851/spencer-kieboom
3/8/17,RHPRyan Brinleyassigned to Washington Nationals.,http://m.nationals.mlb.com/player/665096/ryan-brinley
3/8/17,RHPJake Johansenassigned to Washington Nationals.,http://m.nationals.mlb.com/player/572952/jake-johansen
3/11/17,2BBryan Mejiaassigned to Washington Nationals.,http://m.nationals.mlb.com/player/606240/bryan-mejia
3/11/17,LHPMatthew Crownoverassigned to Washington Nationals.,http://m.nationals.mlb.com/player/608327/matthew-crownover
3/12/17,Washington Nationals signed free agent RHPAlejandro Vallejoto a minor league contract.,http://m.nationals.mlb.com/player/674374/alejandro-vallejo
3/12/17,Washington Nationals signed free agent RHPJohan Gomezto a minor league contract.,http://m.nationals.mlb.com/player/674371/johan-gomez
3/13/17,Washington Nationals optionedMatt Skoleto Syracuse Chiefs.,http://m.nationals.mlb.com/player/605474/matt-skole
3/13/17,Washington Nationals optionedAustin Vothto Syracuse Chiefs.,http://m.nationals.mlb.com/player/608723/austin-voth
3/13/17,Washington Nationals optionedRaudy Readto Harrisburg Senators.,http://m.nationals.mlb.com/player/600466/raudy-read
3/13/17,Washington Nationals optionedJimmy Corderoto Syracuse Chiefs.,http://m.nationals.mlb.com/player/622772/jimmy-cordero
3/15/17,Washington Nationals released CDerek Norris.,http://m.nationals.mlb.com/player/519083/derek-norris
3/16/17,RHPPhillips Valdezassigned to Washington Nationals.,http://m.nationals.mlb.com/player/570488/phillips-valdez
3/16/17,RHPGreg Rossassigned to Washington Nationals.,http://m.nationals.mlb.com/player/607265/greg-ross
3/17/17,LFIsaac Ballouassigned to Washington Nationals.,http://m.nationals.mlb.com/player/643208/isaac-ballou
3/17/17,SSStephen Perezassigned to Washington Nationals.,http://m.nationals.mlb.com/player/572028/stephen-perez
3/17/17,3BIrving Faluassigned to Washington Nationals.,http://m.nationals.mlb.com/player/458252/irving-falu
3/17/17,RFCaleb Ramseyassigned to Washington Nationals.,http://m.nationals.mlb.com/player/548324/caleb-ramsey
3/17/17,LHPJosh Outmanassigned to Washington Nationals.,http://m.nationals.mlb.com/player/489189/josh-outman
